,FACILITY ID,FACILITY NAME,RECORD ID, PROGRAM NAME,PROGRAM ELEMENT (PE),PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY  STATE,FACILITY ZIP,FACILITY LATITUDE,FACILITY LONGITUDE,OWNER ID,OWNER NAME,OWNER ADDRESS,OWNER CITY,OWNER STATE,OWNER ZIP,Location,Census Tracts 2010,2011 Supervisorial District Boundaries (Official),Board Approved Statistical Areas,Zip Codes
3574,FA0171265,BEL CAMPO MEAT CO,PR0161319,BEL CAMPO MEAT CO,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1026 WILSHIRE BLVD,SANTA&#160;MONICA,CA,90404,34.02384154,-118.4922658,OW0178360,BEL CAMPO  MEAT COMPANY   LLC,1026 WILSHIRE BLVD,SANTA&#160;MONICA,CA,90401,"(34.0238415414, -118.4922657685)",441.0,3.0,93.0,25426.0
12377,FA0017394,CVS/PHARMACY #9773,PR0021574,CVS/PHARMACY #9773,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",15743 E IMPERIAL HWY,LA MIRADA,CA,90638,33.91745628,-117.9955595,OW0012926,"GARFIELD BEACH CVS, LLC.",1 CVS DR MC# 1160,WOONSOCKET,RI,2895,"(33.9174562823, -117.9955595105)",1932.0,4.0,315.0,25732.0
39824,FA0074231,YARD HOUSE,PR0018833,YARD HOUSE,1641,RESTAURANT (151 + ) SEATS HIGH RISK,800 W OLYMPIC BLVD,LOS ANGELES,CA,90015,34.0448376,-118.2645273,OW0101563,"YARD HOUSE USA, INC.",1000 DARDEN CENTER DR,ORLANDO,FL,32837,"(34.0448376046, -118.2645272878)",709.0,1.0,343.0,23076.0
25941,FA0034451,LA GARDENIA,PR0021234,LA GARDENIA,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",123 E ANGELENO AVE,SAN GABRIEL,CA,91776,34.09635268,-118.0985418,OW0026915,"OROPEZA, EMILIANO R",123  E ANGELENO AVE,SAN GABRIEL,CA,91776,"(34.0963526764, -118.0985418283)",1698.0,5.0,38.0,10137.0
6090,FA0176833,CELIA'S MARKET,PR0169748,CELIA'S MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2134 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90033,34.04782669,-118.21053329999998,OW0182829,CELIA RIVERA,2134 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90033,"(34.0478266922, -118.2105333363)",1214.0,1.0,332.0,23450.0
34976,FA0052053,THE HUNGRY NINJA,PR0028339,THE HUNGRY NINJA,1632,RESTAURANT (0-30) SEATS HIGH RISK,21032 DEVONSHIRE ST STE 101,CHATSWORTH,CA,91311,34.25701467,-118.59171699999999,OW0034857,TAK SARAH,21032 DEVONSHIRE ST STE 101,CHATSWORTH,CA,91311,"(34.2570146721, -118.5917170056)",500.0,5.0,337.0,4284.0
15238,FA0035056,SUNLAND CHEVRON MINI MART,PR0019454,SUNLAND CHEVRON MINI MART,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",8556 FOOTHILL BLVD,SUNLAND,CA,91040,34.25956949,-118.31981529999999,OW0016366,"HOSN AND HOSN ENTERPRISES, I",8556   FOOTHILL BLVD.,SUNLAND,CA,91040,"(34.2595694912, -118.3198152523)",1657.0,5.0,45.0,3221.0
31305,FA0019106,DOLLAR USA DISCOUNT,PR0043342,DOLLAR USA DISCOUNT,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1131 W WHITTIER BLVD,MONTEBELLO,CA,90640,34.01077338,-118.1122124,OW0032210,"SEO, SUNG KWON",1131  W WHITTIER BLVD.,MONTEBELLO,CA,90640,"(34.0107733799, -118.1122123756)",2018.0,1.0,74.0,25733.0
23341,FA0055710,YOGURTLAND,PR0030972,YOGURTLAND,1631,RESTAURANT (0-30) SEATS MODERATE RISK,104 S MYRTLE AVE,MONROVIA,CA,91016,34.15124732,-118.0008466,OW0024356,MHR INVESTMENTS INC.,900   ENCANTO DR.,ARCADIA,CA,91007,"(34.1512473159, -118.0008466484)",1706.0,5.0,73.0,2838.0
33961,FA0269708,CROCK N KETTLE SANDWICH SHOPPE,PR0222161,CROCK N KETTLE SANDWICH SHOPPE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,10723 SOUTH ST,CERRITOS,CA,90703,33.85835306,-118.10804679999998,OW0259851,STEVEN NIN LOY,10723 SOUTH ST,CERRITOS,CA,90703,"(33.8583530612, -118.1080467643)",2057.0,4.0,17.0,26324.0
